2018.03.12.11.01.10,  Creating HP: success
2018.03.12.11.01.11,  writing to HP: RESET
2018.03.12.11.01.11,  writing to HP: END 2; DCV AUTO; AZERO ON;DELAY 0;NPLC 20
2018.03.12.11.01.11,  writing to HP: ERR?
2018.03.12.11.01.11,  reading HP: 0

0

2018.03.12.11.01.16,  reading HP: -1.324201608E-07

2018.03.12.11.01.21,  reading HP: -8.715333555E-08

2018.03.12.11.01.21,  writing to HP: RESET
2018.03.12.11.01.21,  writing to HP: END 2; DCV AUTO; AZERO ON;DELAY 0;NPLC 20

2018.03.12.11.01.21,  writing to HP: ERR?
2018.03.12.11.01.21,  reading HP: 0

meter ESR = 0


Spread sheet row 2
2018.03.12.11.01.21,  writing to HP: ERR?
2018.03.12.11.01.21,  reading HP: 0

meter ESR = 0


2018.03.12.11.01.21,  writing to HP: DCV 0.1
2018.03.12.11.01.21,  writing to HP: LFREQ LINE
2018.03.12.11.01.25,  reading HP: -6.271207270E-08

2018.03.12.11.01.25, -6.27120727e-08

2018.03.12.11.01.25,  reading HP: -7.772763940E-08

2018.03.12.11.01.26, -7.77276394e-08

2018.03.12.11.01.26,  reading HP: -6.197601551E-08

2018.03.12.11.01.27, -6.197601551e-08

2018.03.12.11.01.27,  reading HP: -9.892608651E-08

2018.03.12.11.01.27, -9.892608651e-08

2018.03.12.11.01.27,  reading HP: -8.832686296E-08

2018.03.12.11.01.28, -8.832686296e-08

2018.03.12.11.01.28,  reading HP: -1.243936653E-07

2018.03.12.11.01.29, -1.243936653e-07

2018.03.12.11.01.29,  reading HP: -5.446823216E-08

2018.03.12.11.01.30, -5.446823216e-08

2018.03.12.11.01.30,  reading HP: -1.067282927E-07

2018.03.12.11.01.31, -1.067282927e-07

2018.03.12.11.01.31,  reading HP: -5.064073476E-08

2018.03.12.11.01.32, -5.064073476e-08

2018.03.12.11.01.32,  reading HP: -1.101141558E-07

2018.03.12.11.01.32, -1.101141558e-07

2018.03.12.11.01.32,  reading HP: -6.742283872E-08

2018.03.12.11.01.33, -6.742283872e-08

2018.03.12.11.01.33,  reading HP: -4.681323737E-08

2018.03.12.11.01.34, -4.681323737e-08

2018.03.12.11.01.34,  reading HP: -1.541303759E-07

2018.03.12.11.01.35, -1.541303759e-07

2018.03.12.11.01.35,  reading HP: -1.408813464E-07

2018.03.12.11.01.36, -1.408813464e-07

