2018.03.12.11.55.16,  Creating HP: success
2018.03.12.11.57.36, 1.030222227e-07

2018.03.12.11.57.36,  reading HP:  1.177396831E-07

2018.03.12.11.57.37, 1.177396831e-07

2018.03.12.11.57.37,  reading HP:  5.886984153E-08

2018.03.12.11.57.38, 5.886984153e-08

2018.03.12.11.57.38,  reading HP:  1.030222227E-07

2018.03.12.11.57.38, 1.030222227e-07

2018.03.12.11.57.38,  reading HP: -7.358730191E-08

2018.03.12.11.57.39, -7.358730191e-08

2018.03.12.11.57.39,  reading HP:  2.943492076E-08

2018.03.12.11.57.40, 2.943492076e-08

2018.03.12.11.57.40,  reading HP:  1.471746038E-08

2018.03.12.11.57.41, 1.471746038e-08

2018.03.12.11.57.41,  reading HP:  1.618920642E-07

2018.03.12.11.57.42, 1.618920642e-07

2018.03.12.11.57.42,  reading HP:  7.505904795E-07

2018.03.12.11.57.42, 7.505904795e-07

2018.03.12.11.57.42,  reading HP: -7.358730191E-08

2018.03.12.11.57.43, -7.358730191e-08

2018.03.12.11.57.43,  reading HP:  3.237841284E-07

2018.03.12.11.57.44, 3.237841284e-07

2018.03.12.11.57.44,  reading HP:  3.090666680E-07

2018.03.12.11.57.45, 3.09066668e-07

2018.03.12.11.57.45,  reading HP:  1.030222227E-07

2018.03.12.11.57.46, 1.030222227e-07

2018.03.12.11.57.46,  reading HP:  2.943492076E-08

2018.03.12.11.57.47, 2.943492076e-08

2018.03.12.11.57.47,  reading HP:  1.913269850E-07

2018.03.12.11.57.47, 1.91326985e-07

2018.03.12.11.57.47,  reading HP:  1.618920642E-07

2018.03.12.11.57.48, 1.618920642e-07

2018.03.12.11.57.48,  reading HP:  1.471746038E-07

2018.03.12.11.57.49, 1.471746038e-07

2018.03.12.11.57.49,  writing to HP: LINE?
2018.03.12.11.57.50,  reading HP:  50.0296355E+00

Spread sheet row 5
2018.03.12.11.57.50,  writing to HP: ERR?
2018.03.12.11.57.50,  reading HP: 0

meter ESR = 0


2018.03.12.11.57.50,  writing to HP: DCV 100.0
2018.03.12.11.57.50,  writing to HP: LFREQ LINE
2018.03.12.11.58.22,  reading HP: -2.208989029E-06

2018.03.12.11.58.22, -2.208989029e-06

2018.03.12.11.58.22,  reading HP: -1.413752978E-05

2018.03.12.11.58.22, -1.413752978e-05

2018.03.12.11.58.22,  reading HP: -1.634651881E-05

2018.03.12.11.58.22, -1.634651881e-05

2018.03.12.11.58.22,  reading HP: -1.531565727E-05

2018.03.12.11.58.23, -1.531565727e-05

2018.03.12.11.58.23,  reading HP: -3.681648381E-06

2018.03.12.11.58.24, -3.681648381e-06

2018.03.12.11.58.24,  reading HP: -4.417978058E-06

2018.03.12.11.58.25, -4.417978058e-06

2018.03.12.11.58.25,  reading HP:  1.016134953E-05

2018.03.12.11.58.26, 1.016134953e-05

2018.03.12.11.58.26,  reading HP: -7.216030828E-06

2018.03.12.11.58.27, -7.216030828e-06

